  File "get_data.py", line 25
    da={}
        ^
TabError: inconsistent use of tabs and spaces in indentation
第390组失败	当前进度390/1806	 成功: 108 	 失败: 281
第391组失败	当前进度391/1806	 成功: 108 	 失败: 282
第392组失败	当前进度392/1806	 成功: 108 	 失败: 283
第393组失败	当前进度393/1806	 成功: 108 	 失败: 284
第394组失败	当前进度394/1806	 成功: 108 	 失败: 285
第395组失败	当前进度395/1806	 成功: 108 	 失败: 286
第396组失败	当前进度396/1806	 成功: 108 	 失败: 287
第397组失败	当前进度397/1806	 成功: 108 	 失败: 288
第398组失败	当前进度398/1806	 成功: 108 	 失败: 289
第399组失败	当前进度399/1806	 成功: 108 	 失败: 290
第400组失败	当前进度400/1806	 成功: 108 	 失败: 291
第401组失败	当前进度401/1806	 成功: 108 	 失败: 292
第402组失败	当前进度402/1806	 成功: 108 	 失败: 293
第403组失败	当前进度403/1806	 成功: 108 	 失败: 294
第404组失败	当前进度404/1806	 成功: 108 	 失败: 295
第405组失败	当前进度405/1806	 成功: 108 	 失败: 296
第406组失败	当前进度406/1806	 成功: 108 	 失败: 297
第407组失败	当前进度407/1806	 成功: 108 	 失败: 298
第408组失败	当前进度408/1806	 成功: 108 	 失败: 299
第409组失败	当前进度409/1806	 成功: 108 	 失败: 300
第410组失败	当前进度410/1806	 成功: 108 	 失败: 301
第411组失败	当前进度411/1806	 成功: 108 	 失败: 302
第412组失败	当前进度412/1806	 成功: 108 	 失败: 303
第413组失败	当前进度413/1806	 成功: 108 	 失败: 304
第414组失败	当前进度414/1806	 成功: 108 	 失败: 305
第415组失败	当前进度415/1806	 成功: 108 	 失败: 306
第416组失败	当前进度416/1806	 成功: 108 	 失败: 307
第417组失败	当前进度417/1806	 成功: 108 	 失败: 308
第418组失败	当前进度418/1806	 成功: 108 	 失败: 309
第419组失败	当前进度419/1806	 成功: 108 	 失败: 310
第420组失败	当前进度420/1806	 成功: 108 	 失败: 311
第421组失败	当前进度421/1806	 成功: 108 	 失败: 312
第422组失败	当前进度422/1806	 成功: 108 	 失败: 313
第423组失败	当前进度423/1806	 成功: 108 	 失败: 314
第424组失败	当前进度424/1806	 成功: 108 	 失败: 315
第425组失败	当前进度425/1806	 成功: 108 	 失败: 316
第426组失败	当前进度426/1806	 成功: 108 	 失败: 317
第427组失败	当前进度427/1806	 成功: 108 	 失败: 318
第428组失败	当前进度428/1806	 成功: 108 	 失败: 319
第429组失败	当前进度429/1806	 成功: 108 	 失败: 320
第430组失败	当前进度430/1806	 成功: 108 	 失败: 321
第431组失败	当前进度431/1806	 成功: 108 	 失败: 322
第432组失败	当前进度432/1806	 成功: 108 	 失败: 323
第433组失败	当前进度433/1806	 成功: 108 	 失败: 324
第434组失败	当前进度434/1806	 成功: 108 	 失败: 325
第435组失败	当前进度435/1806	 成功: 108 	 失败: 326
第436组失败	当前进度436/1806	 成功: 108 	 失败: 327
第437组失败	当前进度437/1806	 成功: 108 	 失败: 328
第438组失败	当前进度438/1806	 成功: 108 	 失败: 329
第439组失败	当前进度439/1806	 成功: 108 	 失败: 330
第440组失败	当前进度440/1806	 成功: 108 	 失败: 331
